security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG018W57K75,,,,,,BBG018W57K75,UBPU2Z3,,UBPU2Z3 Index,79052251
BBG017WTT4X8,,,TRVXIST03475,,1197689,BBG017WTT4X8,AEFES=Q2,,AEFES=Q2 TI Equity,78991916
BBG017WTT4Y7,,,TRVXIST03483,,159576,BBG017WTT4Y7,AKBNK=Q2,,AKBNK=Q2 TI Equity,78991962
BBG0199B1F37,,,,CICV2,45129300,BBG0199B1F37,FFDV2,FFD,FFDV2 Index,79101126
BBG019BHQV66,,,,,101499,BBG019BHQV66,TRP=SP G23M23,,TRP=SP G23M23 MS Equity,79105530
BBG019BHQVR3,,,,,110724,BBG019BHQVR3,TRI=SP U22G23,,TRI=SP U22G23 MS Equity,79105532
BBG019BHQPW0,,,,,104669,BBG019BHQPW0,IMO=SP X22G23,,IMO=SP X22G23 MS Equity,79105570
BBG019BHQHH5,,,,,1184972,BBG019BHQHH5,XEG=SP U22G23,,XEG=SP U22G23 MS Equity,79105671
BBG019BHQYZ8,,,,,69462969,BBG019BHQYZ8,BTCXB=SP U22G23,,BTCXB=SP U22G23 MS Equity,79105634
BBG019BHQYW1,,,,,69462969,BBG019BHQYW1,BTCXB=SP F23G23,,BTCXB=SP F23G23 MS Equity,79105638
BBG019BHQMV8,,,,,898250,BBG019BHQMV8,XIU=SP F23G23,,XIU=SP F23G23 MS Equity,79105656
BBG019BHQW00,,,,,129697,BBG019BHQW00,REI=SP V22G23,,REI=SP V22G23 MS Equity,79105625
BBG019BHQM57,,,,,1184970,BBG019BHQM57,XIC=SP V22G23,,XIC=SP V22G23 MS Equity,79105645
BBG019BHQG32,,,,,179551,BBG019BHQG32,CNR=SP V22G23,,CNR=SP V22G23 MS Equity,79105615
BBG019BHQW46,,,,,110411,BBG019BHQW46,RY=SP G23H23,,RY=SP G23H23 MS Equity,79105647
BBG019BHQXQ0,,,,,108560,BBG019BHQXQ0,T=SP Z22G23,,T=SP Z22G23 MS Equity,79105621
BBG019BHQV39,,,,,69539725,BBG019BHQV39,BTCQ=SP Z22G23,,BTCQ=SP Z22G23 MS Equity,79105684
BBG019BHQCR5,,,,,108379,BBG019BHQCR5,ARE=SP G23M23,,ARE=SP G23M23 MS Equity,79105855
BBG019BHR2T4,,,,,1184974,BBG019BHR2T4,XGD=SP G23H23,,XGD=SP G23H23 MS Equity,79105774
BBG019BHQJV5,,,,,109221,BBG019BHQJV5,FTS=SP G23H23,,FTS=SP G23H23 MS Equity,79105732
BBG019BHQN73,,,,,8135539,BBG019BHQN73,KEY=SP X22G23,,KEY=SP X22G23 MS Equity,79105864
BBG019BHQXV4,,,,,110755,BBG019BHQXV4,TD=SP U22G23,,TD=SP U22G23 MS Equity,79105766
BBG019BHQY06,,,,,69480151,BBG019BHQY06,ETHHB=SP G23H23,,ETHHB=SP G23H23 MS Equity,79105768
BBG019BHQY51,,,,,69480151,BBG019BHQY51,ETHHB=SP Z22G23,,ETHHB=SP Z22G23 MS Equity,79105870
BBG019BHQF43,,,,,108444,BBG019BHQF43,BMO=SP G23M23,,BMO=SP G23M23 MS Equity,79105869
BBG019BHQTM3,,,,,310116,BBG019BHQTM3,AQN=SP X22G23,,AQN=SP X22G23 MS Equity,79105854
BBG019BHR4T0,,,,,17309994,BBG019BHR4T0,ZEB=SP X22G23,,ZEB=SP X22G23 MS Equity,79105725
BBG019BHQT07,,,,,110255,BBG019BHQT07,POW=SP F23G23,,POW=SP F23G23 MS Equity,79105862
BBG019BHQR47,,,,,108445,BBG019BHQR47,BNS=SP G23H23,,BNS=SP G23H23 MS Equity,79105749
BBG019BHR170,,,,,69722403,BBG019BHR170,WN=SP F23G23,,WN=SP F23G23 MS Equity,79105743
BBG019BHQMN7,,,,,110401,BBG019BHQMN7,RCI/B=SP G23H23,,RCI/B=SP G23H23 MS Equity,79105776
BBG019BHQX17,,,,,110631,BBG019BHQX17,SU=SP G23H23,,SU=SP G23H23 MS Equity,79105842
BBG019BHQH03,,,,,15951478,BBG019BHQH03,DOL=SP V22G23,,DOL=SP V22G23 MS Equity,79105879
BBG019BHQLS4,,,,,41944962,BBG019BHQLS4,HEXO=SP Z22G23,,HEXO=SP Z22G23 MS Equity,79106083
BBG019BHQNP3,,,,,109763,BBG019BHQNP3,L=SP X22G23,,L=SP X22G23 MS Equity,79105891
BBG019BHQSF3,,,,,20442566,BBG019BHQSF3,TOU=SP V22G23,,TOU=SP V22G23 MS Equity,79105987
BBG019BHQFS7,,,,,110543,BBG019BHQFS7,SNC=SP G23H23,,SNC=SP G23H23 MS Equity,79106089
BBG019BHQXJ8,,,,,108560,BBG019BHQXJ8,T=SP G23H23,,T=SP G23H23 MS Equity,79105969
BBG019BHQKD2,,,,,13418315,BBG019BHQKD2,FNV=SP Z22G23,,FNV=SP Z22G23 MS Equity,79106272
BBG019BHQSX3,,,,,302864,BBG019BHQSX3,PPL=SP V22G23,,PPL=SP V22G23 MS Equity,79105876
BBG019BHQDQ4,,,,,100055,BBG019BHQDQ4,ABX=SP U22G23,,ABX=SP U22G23 MS Equity,79106011
BBG019BHQLX8,,,,,59358933,BBG019BHQLX8,IAG=SP U22G23,,IAG=SP U22G23 MS Equity,79106110
BBG019BHQY15,,,,,69480151,BBG019BHQY15,ETHHB=SP G23M23,,ETHHB=SP G23M23 MS Equity,79106152
BBG019BHQRQ3,,,,,12392676,BBG019BHQRQ3,ACB=SP X22G23,,ACB=SP X22G23 MS Equity,79105924
BBG019BHQPY8,,,,,109873,BBG019BHQPY8,MRU=SP F23G23,,MRU=SP F23G23 MS Equity,79106100
BBG019G4RXM7,,,NLEN07982296,,115824,BBG019G4RXM7,UR8=Z5,,UR8=Z5 NA Equity,79123300
BBG019G500H1,,,,,,BBG019G500H1,B5F3B5G3,,B5F3B5G3 Comdty,79123546
BBG019G4RX29,,,NLEN07981355,,997138,BBG019G4RX29,QH8=Z4,,QH8=Z4 NA Equity,79123391
BBG019GZV6M2,,,,,,BBG019GZV6M2,IBYV2F3,,IBYV2F3 Index,79123842
BBG019G4ZSD9,,,,,937119,BBG019G4ZSD9,MOEX=H3,,MOEX=H3 RU Equity,79123351
BBG019GZV6S6,,,,,,BBG019GZV6S6,IHBZ2F3,,IHBZ2F3 Index,79123833
BBG019G4RWK1,,,NLEN07981421,,305937,BBG019G4RWK1,PN8=Z2,,PN8=Z2 NA Equity,79123292
BBG019G5QGD2,,,,,,BBG019G5QGD2,JUOX2Z2,,JUOX2Z2 Comdty,79123585
BBG019G4RTJ0,,,NLEN07982429,,115783,BBG019G4RTJ0,TZ8=M3,,TZ8=M3 NA Equity,79123355
BBG011CK2XM9,,,,,21059158,BBG011CK2XM9,1OU2,,1OU2 Index,79125645
BBG00QX4KV06,G4954B536,BKLFZ08,IE00BFNM3G45,GPSA.L,61788844,BBG00QX4KV06,GPSA LN,GPSA,GPSA LN Equity,78085343
BBG000BLHWB9,G3204Q350,B15KYL0,GB00B15KYL00,GRNS.L,11026568,BBG000BLHWB9,AIGG LN,AIGG,AIGG LN Equity,78038317
BBG00WHNGRG6,W1R91S102,BMF40D3,SE0009663834,5JL.MU,36101752,BBG00WHNGRG6,5JL GR,5JL,5JL GR Equity,78123688
BBG0081S3PC7,P4612W104,BGDWCJ7,MX01CH170002,2GCB.F,201843,BBG0081S3PC7,2GCB GR,2GCB,2GCB GR Equity,78038635
BBG001QMC4K6,,B3RDGJ3,DK0060293538,BAIHUAA.CO,25497358,BBG001QMC4K6,BANKHUA DC,BAIHUAA,BANKHUA DC Equity,78038871
BBG000DNPJH7,Q0647P113,B0Q4NG2,AU000000AUB9,AUB.BE,10073007,BBG000DNPJH7,A5H GR,A5H,A5H GR Equity,78059895
BBG00VXCTWR7,,BLR86X8,IE00BK5BZT14,3CRM.AS,67991323,BBG00VXCTWR7,3CRM NA,3CRM,3CRM NA Equity,78115316
BBG00645T3T1,808625107,BKM3WF5,US8086251076,85S.F,32527100,BBG00645T3T1,85S GR,85S,85S GR Equity,78026423
